"","X500","X1000","X2000","X4000"
"sd_EIN",0.791871534633176,0.469920831865882,0.311377968343381,0.205467563130885
"sd_NNE",0.908213979981857,0.565485916213705,0.369627940344505,0.237941754441648
"sd_NNT",0.814549900444861,0.487856209265872,0.319263445046172,0.207193291228486
