"X1","X2","X3","X4","X5","X6","X7","X8"
NA,NA,2.63839388653477,4.84097488824512,2.64664844831134,3.76974882710168,2.93736046401321,3.89727827445771
2.22366620746361,8.83136129901832,2.68778040734668,5.00452710824138,2.56183642923666,3.68268003011987,2.94588793801153,3.84262021724517
1.81927907441068,4.10277792902871,2.38360924011934,3.62082447741898,2.67555802492983,3.84318784994611,2.94758939966868,3.88222599568345
1.81584876494486,3.58142065783437,2.39457035888202,4.09258458523425,2.76478370227584,4.22659742315865,2.87237147829053,3.7313564970225
1.93430254884662,3.87128975587848,2.54852685410339,5.29040684877613,2.73654969366502,4.10667339488392,3.14127498894755,4.17174679778086
2.07757084571807,4.57056064961529,2.44137576280089,4.73362175004328,2.7457908425341,4.08358208664917,3.08261458960586,4.11203657877889
1.98884420661959,3.94357360430314,2.59041353467027,5.12725316559137,2.58057476259603,3.76171178016431,3.27451862941228,4.52455468058613
NA,NA,2.22289760291461,3.4355206384404,3.05570593901966,5.00960810883814,3.02254585461435,4.05828146145972
1.95700182226155,5.91715535976108,2.35301210487927,3.96450724465366,3.09984117648944,4.99407459145363,3.13617740034894,4.23788524749397
1.86220462598665,5.85227235213473,2.74836923935059,6.7605122516141,2.98225783893992,4.47555448046741,2.91391761544934,3.8243801926398
NA,NA,2.3548225801614,4.24493320206849,2.51328951579481,3.62801264659797,3.0885175505743,4.15123842382987
1.87707836401134,4.09511204751909,2.445466019357,4.3856401317914,3.15124482520979,5.38117820645398,2.74552537509278,3.52794829630103
1.78844870727973,4.71652416482518,2.26664031634905,3.83948433592245,2.63751831505944,3.86431055008174,2.91107072496135,3.83383440137435
2.1268161564744,4.08013573737733,2.33285012069204,3.98810410295887,2.4936981722656,3.51913733804675,2.96842767622045,3.9256031893589
2.24584486891448,6.03171267231589,2.20685456571674,3.30933595043038,2.6171728572096,3.77839271980883,2.75156139530526,3.54250729404241
1.82907937199359,5.78645438017734,2.60519201400517,4.69793181925186,2.78053372265822,4.07715975989856,2.94590164191076,3.92439187767471
1.97920288069785,4.94577527327263,2.35511454666834,3.90766727499397,2.52958434251897,3.49583732197868,2.72866646647422,3.54556966838472
1.90390326414859,6.45406477191535,2.49495191250199,4.61089654954414,2.82001072158539,4.29816248622629,3.14020517618864,4.26835832939713
0.511942625866623,12.1741641141677,2.26539845902864,3.62438213973304,2.40951712227851,3.34541096409859,2.94201081971153,3.86744410546189
1.99688733125432,3.95447107866938,2.4558975682699,4.08131550615411,2.62643498447867,3.84888990276081,3.31472821634748,4.66180573548329
1.98261596577259,3.82724809284066,2.27539936439681,3.64626849933182,2.78994232237259,4.13101414754642,2.74371833237456,3.52021331009215
1.89230825037865,7.61112511951294,2.77771607560782,6.94704118248251,2.80893081503956,4.22541561343802,3.08942072173515,4.14483539392107
1.96696728007279,8.3512214128562,2.43003614844786,4.35566816878094,2.83220670493276,4.31868909171217,3.04402696696389,4.17373703734773
1.94826724416721,4.78210481978848,NA,NA,2.9929779710964,4.61096316543238,2.68554006008358,3.41963375236831
1.9158029347113,4.28017268712324,2.35357976060431,3.77708558048949,3.15154487645679,5.33815721895294,2.89923241519854,3.80263918486777
2.10803488944252,5.58478176040836,2.53091232877812,5.37892223061351,2.63183602067463,3.90875425295013,2.58985201462202,3.23743868253999
1.95711227474763,4.72985462697876,2.29948250845043,3.8240208543724,2.39415772143057,3.21396128280843,3.04100310713333,4.08651070302997
1.98305064026966,5.37057469300328,2.52396473357563,5.32178881990763,NA,NA,2.99551649956362,3.9493091093389
2.08032586121468,3.98456506909927,2.54734533376255,5.1150325216205,3.15743037482201,5.40813691059359,2.78766163657084,3.60677996983639
2.05319498316282,5.30359058866253,2.64198471563477,5.46498878448588,2.98629137784634,4.96962598987129,2.89657058625935,3.75393282840084
2.12232367899284,3.83106365545919,2.2506823246717,3.64597543821344,2.59575368036251,3.78205277494121,3.15798746621529,4.26997589105932
2.00123828898173,4.92578135750415,2.63192731149592,5.31345553650516,2.69737604839021,3.98913500734367,3.18391221415786,4.39857299952125
1.99939966534111,3.69152754296518,2.59136631955107,5.15373361966213,2.62201784856392,3.68824959699607,2.8917499951669,3.80965373861585
1.79618963860043,3.16183747023894,2.53306922870156,4.7002258775249,2.94592700042754,4.56514225173986,2.91666090476915,3.85997867368833
1.98760436426594,4.28262746225422,2.53513354731734,5.14320092383393,2.80448011492332,4.35398919782035,2.93427763692089,3.90305543359909
1.96984074641052,4.11477734944221,2.43345307869299,3.9370841158364,2.75753210373363,4.07760391539264,2.97137088933141,3.99839041111562
1.89868858717523,4.7953631822263,2.28950110403876,3.62743916935416,2.7221956845591,4.06827744774004,2.63522504675089,3.38388812625016
2.08659574469437,4.08990551027667,2.43566474515273,4.02626783179819,2.89977170140689,4.61515348241179,3.22517172867711,4.45778625815666
2.3025354371019,5.3930506016187,2.70057646169411,7.3782339144658,2.692558774816,3.99859011640787,2.66374477154905,3.35433227618207
1.76356198340415,6.78688890352999,2.73595742211014,5.40083082203645,2.4094535707401,3.31661407256822,2.89527356529416,3.81299479008863
2.036403409745,5.84820742159921,2.41442427815263,4.24308855765412,2.54578634816427,3.71330053329003,2.93304863965416,3.88022745252615
2.06081340434829,4.70944315000271,2.35691352621977,4.84125000014625,2.57910583405012,3.69424089229945,2.8886734713834,3.83091037827175
2.36088255559409,5.22441774167054,2.37091966570159,4.03882485530708,2.53533540316076,3.50901763172617,3.17441761406769,4.35577095678911
1.7619147888566,5.11530712704506,2.37058989569282,4.32204830606482,2.79490714324388,4.31801503574982,2.9382602111851,3.86594235201176
2.0782920379878,4.83185688474747,2.2774330042823,3.47066568154851,2.7151695777742,3.93968843826101,2.54242753198876,3.18725602721724
1.78977819728339,7.1759004250664,2.42172135947091,4.43254937027178,2.7954390209308,4.24005799703153,2.92040016890151,3.82917264503652
2.10663861592302,6.83066254046473,2.49550853968855,4.45694329972823,2.9384685705513,4.49866161605048,2.86325958837871,3.71510241806001
NA,NA,2.3763009345238,4.12783128379796,2.48069080727624,3.48740105487984,3.01857404183671,4.0195258138588
2.07414202206685,4.04080365071189,2.63727837627663,5.36591439446626,2.5530604357305,3.71251856186953,3.09254396395723,4.25496361007941
NA,NA,2.49161296768308,5.15717749334838,3.07228007420395,4.75387080469277,2.87479980558276,3.78264409146538
2.24966348561425,6.69218271955458,2.42304570656524,4.11905752820143,2.80070843256247,4.22127170654432,2.78783573240903,3.62013284889016
2.00225614250642,4.2925111311421,2.10448752117811,3.2007224775866,2.60621515107952,3.66453195773664,2.87427595108546,3.77154524065747
1.93854217185644,4.32922064825393,2.42504090457528,4.00121161806253,2.98375796090003,4.90910948205023,2.84797216277191,3.71749164574519
2.17675443378802,4.7077117304734,2.54479721045003,4.25220018609328,2.59812537413186,3.72766094937567,2.90433642975176,3.78133049421415
1.82057635842323,3.61036575349386,2.58607368691311,5.48194476223689,2.73039918529286,3.98156284854837,2.92810957561955,3.83355720959215
1.85245955063043,5.97108073972919,2.89468401348677,6.24046868099159,2.73075485077894,4.09354461229284,2.83686307093397,3.6647350246636
2.04255332482444,4.49848252295481,2.60586252623128,5.07521937673846,2.54217330014036,3.5671283854184,2.9691743047712,3.9091188437803
1.99160475462664,3.81063561853209,2.42106284131335,3.92898269072935,2.94307864443911,4.87601003177297,2.92777850472708,3.9277014602967
2.10214976194505,5.78107801295457,NA,NA,2.82203719984452,4.25520204230974,2.78457218319459,3.58452162418534
2.05300422723433,3.77632175219722,2.60201428976906,5.05132872397138,2.84649162712961,4.34684782883577,2.77570326357071,3.58270448603839
1.83598839930024,5.09472512246153,2.44221416878926,5.52453127931229,3.10457489214038,5.15258410459324,2.87474983532178,3.75774632440215
NA,NA,2.73387312902532,6.96380091738599,2.75398630176058,4.08966213164222,3.52124124014158,5.14351786353583
1.95091033193659,3.62949754388053,2.50064463839862,4.17936948350627,3.12841876901004,5.06488798884724,3.13668609579889,4.2017522357896
1.99281131840205,5.82823816333347,2.40165564052223,4.44076887392578,2.83329723781416,4.36032953971422,2.80650202740162,3.66818319726218
2.03296395153096,3.689250423916,2.24566584884758,3.56056689244866,2.97859565721502,4.66816050427787,2.83127343823707,3.68239636032122
2.02818592214352,5.26010096068795,2.63744158662666,5.00828436510855,3.20423481246822,5.3820527220111,2.91295617374855,3.79427552502261
1.86410293013758,3.14189427367174,2.35869051138702,3.71829094676455,3.08706079240915,5.14016460401878,3.09113943105574,4.19797323253426
1.72578085094343,7.37116684788145,2.32625148083296,3.69788088355463,2.53141084535251,3.47570062418842,2.88038360020688,3.80621008040592
1.9994963049255,3.66461635295277,2.7103918659088,5.33812839004434,2.731654260458,4.0522843789203,3.12581017511906,4.24089157158984
NA,NA,2.55419734363327,4.48785620471133,2.95734985363843,4.49168103548317,2.81080832397534,3.61838251108038
2.0573138636999,4.36798182295352,2.44245232601825,5.01353664580593,2.54167817317667,3.57915778149594,2.85062452981303,3.67435246687844
2.0007158661014,4.54714861386596,2.61100700646671,4.9472248106149,2.22316311163591,3.02487133983096,3.20764999438936,4.3139760496633
NA,NA,2.63722805064361,5.7910904867932,2.66667830869022,3.82436572954831,3.09545946191018,4.1084601289637
2.03829080595195,6.92309323344914,2.36587176273596,4.39221707583032,2.9888770215184,4.92768060256286,3.08024112656118,4.12196810142335
2.14777998089935,4.28046888879885,2.38525404319189,4.0751930959796,2.67636803424323,3.8290116361735,2.94753320819314,3.85832910643819
2.11719566772966,5.7843588969495,2.34503888373553,3.76288708140141,2.73269545323628,4.11638359132705,2.88354705659718,3.78650924995993
1.94643281102304,3.56785374729369,2.43366504749518,4.11225483444799,2.94782817586215,4.57856285804547,3.12304922309362,4.22357653966457
NA,NA,2.54692350960072,5.54372395185104,2.60957383243449,3.84123644918803,3.1201756939942,4.25545792528685
1.86793295870381,5.78439842893167,2.25280235556883,3.92123736360686,NA,NA,3.12267465651671,4.27517041995861
2.05111466648247,5.61647126407961,2.54908925953595,5.3207228518034,2.82439224345829,4.23566220279388,2.89739432909333,3.8391242758983
2.08739270247235,5.86214223671996,2.65811737614291,4.87810612865092,NA,NA,3.04872044250063,4.11749398198642
