"","X500","X1000","X2000"
"sd_NNT",44.1636357829109,29.9109043089719,18.0437318345525
"sd_NNE",54.1898563218842,43.3648057530522,27.7931683896758
"sd_EIN",36.6152126138766,25.2494742793531,14.729909248663
